abn,name,category,entity_type,entity_status,sources,state,postcode,registration_date,age_years,gst_registered,gst_effective_from,is_current_entity,acn,main_trading_name,phone,email,business_url,found_at_url,updated_at
45051533398,Radius Benders Pty Ltd,Manufacturing,Australian Private Company,Active,AMTIL,NSW,4122,2000-01-21 00:00:00,26,true,2000-07-01 00:00:00,true,051533398,RADIUS BENDERS PTY LTD,"","","",https://amtil.com.au/directory/,2026-02-19 00:43:15.11256
61066861943,Novasys Group Pty Ltd,Manufacturing,Australian Private Company,Active,AMTIL,VIC,3153,2000-01-23 00:00:00,26,true,2000-07-01 00:00:00,true,066861943,NOVASYS GROUP PTY LTD,"","","",https://amtil.com.au/directory/,2026-02-19 00:43:00.827114
87058229495,ECI Software Solutions,Manufacturing,Australian Private Company,Active,AMTIL,VIC,3123,2000-01-25 00:00:00,26,true,2000-07-01 00:00:00,true,058229495,ECI SOLUTIONS PTY LTD,"","","",https://amtil.com.au/directory/,2026-02-19 00:42:12.420052
96004338961,Headland Technology,Manufacturing,Australian Private Company,Active,AMTIL,VIC,3125,2000-01-25 00:00:00,26,true,2000-07-01 00:00:00,true,004338961,HEADLAND TECHNOLOGY PTY LTD,"","","",https://amtil.com.au/directory/,2026-02-19 00:42:29.630469
29006111691,Independent Software Advisors,Service Provider,Australian Private Company,Active,NorthLink-FoodSvc,VIC,3106,2000-01-25 00:00:00,26,true,2000-07-01 00:00:00,true,006111691,GEMINI DOWNS PTY. LTD.,"","",https://www.linkedin.com/in/brian-leacy-99288751/?originalSubdomain=au,https://northlink.org.au/melbournes-north-food-group/service-provider-directory/,2026-02-19 00:44:21.354755
68007211841,Quality Energy,Manufacturing,Australian Private Company,Active,SEMMA,VIC,3189,2000-01-25 00:00:00,26,true,2000-07-01 00:00:00,true,007211841,QUALITY ENERGY PTY LTD,"","","",https://semma.com.au/members-directory/,2026-02-19 00:57:42.614204
53088212686,Value Heat Treatment,Manufacturing,Australian Private Company,Active,AMTIL,VIC,4108,2000-01-28 00:00:00,26,true,2000-07-01 00:00:00,true,088212686,HEAT TREATMENT (QLD) PTY LTD,"","","",https://amtil.com.au/directory/,2026-02-19 00:43:33.975782
46089353524,Protube Engineering Pty Ltd,Manufacturing,Australian Private Company,Active,AMTIL,SA,5067,2000-02-01 00:00:00,26,true,2000-07-01 00:00:00,true,089353524,PROTUBE ENGINEERING PTY LTD,"","","",https://amtil.com.au/directory/,2026-02-19 00:43:13.574837
92091253137,FUTURE PLATFORM PTY LIMITED,"",Australian Private Company,Active,ABR-Search,NSW,2095,2000-02-01 00:00:00,26,true,2000-07-01 00:00:00,true,091253137,FUTURE PLATFORM PTY LIMITED,"","","","",2026-02-19 00:46:28.258831
15073882827,D&M Auto Industrial Spray Painting,Manufacturing,Australian Private Company,Active,SEMMA,VIC,3195,2000-02-01 00:00:00,26,true,2000-07-01 00:00:00,true,073882827,D & M AUTO INDUSTRIAL SPRAY PAINTING PTY. LTD.,"","","",https://semma.com.au/members-directory/,2026-02-19 00:57:05.879534
80003538172,DINNA MATHEMATICAL MODELLING PTY. LIMITED,"",Australian Private Company,Active,ABR-Search,NSW,2022,2000-02-02 00:00:00,26,true,2000-07-01 00:00:00,true,003538172,DINNA MATHEMATICAL MODELLING PTY. LIMITED,"","","","",2026-02-19 00:45:44.169306
35001355899,Fanuc Oceania Pty Ltd,Manufacturing,Australian Private Company,Active,AMTIL,NSW,2148,2000-02-03 00:00:00,26,true,2000-07-01 00:00:00,true,001355899,FANUC OCEANIA PTY LTD,"","","",https://amtil.com.au/directory/,2026-02-19 00:42:17.093779
97057888552,Outerspace Design Group,Manufacturing,Australian Private Company,Active,NorthLink-MfgPartner,VIC,3067,2000-02-03 00:00:00,26,true,2000-07-01 00:00:00,true,057888552,OUTER SPACE DESIGN GROUP PTY. LTD.,"","",https://outerspace.co/,https://northlink.org.au/melbournes-north-advanced-manufacturing-group/partner-directory/,2026-02-19 00:44:46.028461
74000014175,Quaker Houghton Australia Pty Ltd,Manufacturing,Australian Private Company,Active,AMTIL,VIC,3189,2000-02-04 00:00:00,26,true,2000-07-01 00:00:00,true,000014175,QUAKER HOUGHTON AUSTRALIA PTY LTD,"","","",https://amtil.com.au/directory/,2026-02-19 00:43:14.833127
89080086906,Morgan Technical Ceramics,Manufacturing,Australian Private Company,Active,SEMMA,VIC,3168,2000-02-04 00:00:00,26,true,2000-07-01 00:00:00,true,080086906,MORGAN TECHNICAL CERAMICS AUSTRALIA PTY LIMITED,"","","",https://semma.com.au/members-directory/,2026-02-19 00:57:35.686047
